Frequency (Hz),Level (dB)
11584.86328,-107.692558
11627.92969,-104.776024
11670.99609,-96.159508
11714.0625,-95.550064
11757.12891,-102.965233
11800.19531,-111.852989
11843.26172,-101.283501
11886.32813,-97.049911
11929.39453,-98.113907
11972.46094,-102.897545
12015.52734,-101.871979
12058.59375,-102.461815
12101.66016,-111.339554
12144.72656,-123.18428
12187.79297,-126.349007
12230.85938,-125.605469
12273.92578,-125.983078
12316.99219,-132.939178
12360.05859,-134.831909
12403.125,-128.357178
12446.19141,-126.418625
12489.25781,-129.30455
12532.32422,-136.026825
12575.39063,-136.521881
12618.45703,-129.361084
12661.52344,-125.279686
12704.58984,-126.172821
12747.65625,-128.398712
12790.72266,-130.539658
12833.78906,-128.796478
12876.85547,-127.773285
12919.92188,-129.492935
12962.98828,-128.203339
13006.05469,-126.229347
13049.12109,-127.492722
13092.1875,-128.48819
13135.25391,-126.373077
13178.32031,-130.896942
13221.38672,-135.661209
13264.45313,-137.108887
13307.51953,-126.419922
13350.58594,-122.611572
13393.65234,-122.492836
13436.71875,-124.199287
13479.78516,-128.193802
13522.85156,-126.350998
13565.91797,-132.632843
13608.98438,-131.074905
13652.05078,-132.415924
13695.11719,-136.331055
13738.18359,-134.708328
13781.25,-135.825363
13824.31641,-138.960236
13867.38281,-137.455658
13910.44922,-139.608109
13953.51563,-137.745026
13996.58203,-138.579498
14039.64844,-137.79631
14082.71484,-138.643097
14125.78125,-141.150681
14168.84766,-138.64917
14211.91406,-137.970764
14254.98047,-139.542984
14298.04688,-140.066269
14341.11328,-139.70961
14384.17969,-138.767654
14427.24609,-135.938141
14470.3125,-134.983978
14513.37891,-133.278275
14556.44531,-136.529312
14599.51172,-138.712997
14642.57813,-137.61853
14685.64453,-139.089478
14728.71094,-140.598816
14771.77734,-138.148956
14814.84375,-138.562759
14857.91016,-139.474884
14900.97656,-140.16597
14944.04297,-140.557358
14987.10938,-139.669525
15030.17578,-138.272476
15073.24219,-138.874283
15116.30859,-141.114349
15159.375,-141.123749
15202.44141,-137.612396
15245.50781,-137.912857
15288.57422,-138.44603
15331.64063,-136.930191
15374.70703,-138.318756
15417.77344,-136.785004
15460.83984,-136.224625
15503.90625,-138.955734
15546.97266,-140.181595
15590.03906,-140.719681
15633.10547,-141.766891
15676.17188,-140.380859
15719.23828,-139.424332
15762.30469,-139.99762
15805.37109,-138.962051
15848.4375,-139.922653
15891.50391,-141.261887
15934.57031,-141.909363
15977.63672,-141.044449
16020.70313,-139.725418
16063.76953,-136.521042
16106.83594,-138.672897
16149.90234,-139.525955
16192.96875,-142.001358
16236.03516,-141.840485
16279.10156,-141.47287
16322.16797,-140.237595
16365.23438,-138.54631
16408.30078,-138.93515
16451.36719,-139.964951
16494.43359,-141.205063
16537.5,-140.893509
16580.56641,-138.304001
16623.63281,-137.982483
16666.69922,-138.530701
16709.76563,-137.77475
16752.83203,-139.228729
16795.89844,-139.830154
16838.96484,-138.173523
16882.03125,-137.121857
16925.09766,-137.325424
16968.16406,-141.218536
17011.23047,-142.703842
17054.29688,-139.081665
17097.36328,-138.402954
17140.42969,-139.219315
17183.49609,-139.919815
17226.5625,-141.88063
17269.62891,-142.033081
17312.69531,-138.521439
17355.76172,-135.043976
17398.82813,-137.206696
17441.89453,-140.235275
17484.96094,-140.488922
17528.02734,-139.399643
17571.09375,-137.647385
17614.16016,-137.528397
17657.22656,-138.348618
17700.29297,-140.833176
17743.35938,-139.81897
17786.42578,-138.139938
17829.49219,-137.020447
17872.55859,-136.87999
17915.625,-137.606354
17958.69141,-138.299011
18001.75781,-139.346176
18044.82422,-138.228485
18087.89063,-135.820953
18130.95703,-137.004807
18174.02344,-140.935638
18217.08984,-140.669342
18260.15625,-140.911682
18303.22266,-136.973709
18346.28906,-135.67984
18389.35547,-139.006805
18432.42188,-140.590744
18475.48828,-140.934509
18518.55469,-140.342346
18561.62109,-138.068344
18604.6875,-137.137787
18647.75391,-137.646729
18690.82031,-138.021255
18733.88672,-139.969864
18776.95313,-143.942169
18820.01953,-142.250809
18863.08594,-141.002899
18906.15234,-142.789658
18949.21875,-143.431808
18992.28516,-144.592346
19035.35156,-144.143219
19078.41797,-140.115097
19121.48438,-139.297318
19164.55078,-136.549347
19207.61719,-138.150238
