Frequency (Hz),Level (dB)
10120.60547,-78.22142
10163.67188,-79.311111
10206.73828,-79.293327
10249.80469,-80.149673
10292.87109,-79.597992
10335.9375,-79.997856
10379.00391,-79.153511
10422.07031,-78.489609
10465.13672,-77.446236
10508.20313,-76.852936
10551.26953,-76.739975
10594.33594,-76.249023
10637.40234,-76.886818
10680.46875,-77.110596
10723.53516,-77.324951
10766.60156,-78.218269
10809.66797,-78.837059
10852.73438,-78.9039
10895.80078,-78.433273
10938.86719,-78.193039
10981.93359,-78.311676
11025,-79.609573
11068.06641,-80.199753
11111.13281,-80.390404
11154.19922,-79.458092
11197.26563,-78.440979
11240.33203,-78.315384
11283.39844,-79.031265
11326.46484,-76.827217
11369.53125,-77.83506
11412.59766,-78.182274
11455.66406,-78.959091
11498.73047,-79.775764
11541.79688,-79.540543
11584.86328,-79.32251
11627.92969,-78.540245
11670.99609,-79.492828
11714.0625,-79.453201
11757.12891,-78.056908
11800.19531,-76.731361
11843.26172,-76.767067
11886.32813,-77.578499
11929.39453,-77.623917
11972.46094,-75.819885
12015.52734,-73.802574
12058.59375,-73.490318
12101.66016,-72.68499
12144.72656,-72.918335
12187.79297,-73.623634
12230.85938,-74.75798
12273.92578,-76.030922
12316.99219,-76.784897
12360.05859,-78.201164
12403.125,-79.297989
12446.19141,-80.680023
12489.25781,-81.581284
12532.32422,-81.552841
12575.39063,-82.017143
12618.45703,-80.192871
12661.52344,-80.150505
12704.58984,-79.92691
12747.65625,-78.847542
12790.72266,-77.992844
12833.78906,-77.315407
12876.85547,-76.605118
12919.92188,-75.620918
12962.98828,-74.559441
13006.05469,-74.789436
13049.12109,-74.426003
13092.1875,-75.800194
13135.25391,-77.259506
13178.32031,-78.017944
13221.38672,-78.22876
13264.45313,-79.419159
13307.51953,-79.419968
13350.58594,-78.876762
13393.65234,-80.063332
13436.71875,-80.65361
13479.78516,-80.479889
13522.85156,-80.300308
13565.91797,-79.71595
13608.98438,-80.436935
13652.05078,-80.261795
13695.11719,-80.194855
13738.18359,-80.063034
13781.25,-79.345329
13824.31641,-79.980415
13867.38281,-80.112831
13910.44922,-80.637108
13953.51563,-81.681824
13996.58203,-81.32
14039.64844,-81.938004
14082.71484,-82.519554
14125.78125,-82.409538
14168.84766,-82.422447
14211.91406,-82.641464
14254.98047,-82.66642
14298.04688,-82.239464
14341.11328,-82.043762
14384.17969,-81.646706
14427.24609,-82.141518
14470.3125,-82.47567
14513.37891,-83.113983
14556.44531,-82.957428
14599.51172,-82.446838
14642.57813,-82.358841
14685.64453,-82.430611
14728.71094,-82.970345
14771.77734,-82.869202
14814.84375,-82.132324
14857.91016,-83.100349
14900.97656,-83.656837
14944.04297,-83.580322
14987.10938,-83.723396
15030.17578,-83.505234
15073.24219,-83.093498
15116.30859,-81.891289
15159.375,-81.434601
15202.44141,-81.284592
15245.50781,-80.442749
15288.57422,-79.8974
15331.64063,-80.543449
15374.70703,-79.891777
15417.77344,-80.007919
15460.83984,-79.927368
15503.90625,-79.908707
15546.97266,-80.197685
15590.03906,-80.733841
15633.10547,-81.096107
15676.17188,-81.587852
15719.23828,-82.555328
15762.30469,-83.248276
15805.37109,-82.938171
15848.4375,-82.260162
15891.50391,-81.917381
15934.57031,-80.56427
15977.63672,-78.896812
16020.70313,-78.859863
16063.76953,-78.746719
16106.83594,-79.047974
16149.90234,-79.391251
16192.96875,-81.356514
16236.03516,-82.085587
16279.10156,-81.894409
16322.16797,-81.183708
16365.23438,-80.162476
16408.30078,-79.175522
16451.36719,-79.365654
16494.43359,-80.473114
16537.5,-81.362381
16580.56641,-82.695602
16623.63281,-84.002846
16666.69922,-83.425079
16709.76563,-82.520882
16752.83203,-82.075035
16795.89844,-80.445549
16838.96484,-80.758072
16882.03125,-80.424652
16925.09766,-81.236877
16968.16406,-80.894859
17011.23047,-81.075661
17054.29688,-80.91964
17097.36328,-81.928284
17140.42969,-82.301239
17183.49609,-82.575378
17226.5625,-82.957458
17269.62891,-83.606079
17312.69531,-83.467644
17355.76172,-82.533699
17398.82813,-81.929497
17441.89453,-80.865433
17484.96094,-80.544357
17528.02734,-79.350967
17571.09375,-78.705612
17614.16016,-78.509155
17657.22656,-78.996071
17700.29297,-79.305527
17743.35938,-80.215317
17786.42578,-80.877052
17829.49219,-81.527351
17872.55859,-81.475845
17915.625,-81.412407
17958.69141,-81.757187
18001.75781,-81.509583
18044.82422,-82.262756
18087.89063,-82.80291
18130.95703,-82.69014
18174.02344,-82.445686
18217.08984,-81.743179
18260.15625,-81.527153
18303.22266,-80.971481
18346.28906,-80.441902
18389.35547,-79.489342
18432.42188,-79.000252
18475.48828,-79.72393
18518.55469,-79.757317
18561.62109,-80.162628
18604.6875,-80.734756
18647.75391,-80.461967
18690.82031,-81.080963
18733.88672,-82.518448
18776.95313,-83.319176
18820.01953,-84.619781
18863.08594,-84.420441
18906.15234,-84.419395
18949.21875,-84.841476
18992.28516,-86.169731
19035.35156,-86.060745
19078.41797,-85.470085
19121.48438,-85.181549
19164.55078,-84.704727
19207.61719,-85.156555
19250.68359,-84.962128
19293.75,-85.051743
19336.81641,-84.450584
19379.88281,-83.578125
19422.94922,-82.430702
19466.01563,-81.252701
19509.08203,-80.398544
19552.14844,-79.373726
19595.21484,-79.045822
19638.28125,-78.970512
19681.34766,-78.5289
19724.41406,-78.238564
19767.48047,-77.662552
19810.54688,-77.484116
19853.61328,-77.241928
19896.67969,-77.418709
19939.74609,-77.914085
19982.8125,-78.068718
20025.87891,-78.964333
20068.94531,-78.717064
20112.01172,-78.25486
20155.07813,-77.969254
20198.14453,-78.004044
20241.21094,-77.744499
20284.27734,-78.071106
20327.34375,-77.857536
20370.41016,-77.80616
20413.47656,-77.661598
20456.54297,-77.415741
20499.60938,-77.01873
20542.67578,-76.937454
20585.74219,-77.241341
20628.80859,-77.999496
