Frequency (Hz),Level (dB)
10120.60547,-77.861229
10163.67188,-77.685951
10206.73828,-77.797302
10249.80469,-77.32
10292.87109,-78.687065
10335.9375,-79.791977
10379.00391,-80.309868
10422.07031,-82.292656
10465.13672,-83.637802
10508.20313,-84.498604
10551.26953,-85.183014
10594.33594,-85.765587
10637.40234,-86.050499
10680.46875,-86.873985
10723.53516,-86.593117
10766.60156,-87.058434
10809.66797,-84.750641
10852.73438,-84.809486
10895.80078,-85.370461
10938.86719,-84.848038
10981.93359,-83.828133
11025,-82.603447
11068.06641,-82.780167
11111.13281,-83.652565
11154.19922,-82.231171
11197.26563,-80.535782
11240.33203,-80.618797
11283.39844,-80.322983
11326.46484,-79.367004
11369.53125,-78.380051
11412.59766,-78.08213
11455.66406,-77.4095
11498.73047,-77.17263
11541.79688,-76.398766
11584.86328,-76.508034
11627.92969,-75.205856
11670.99609,-74.293915
11714.0625,-73.294388
11757.12891,-72.883705
11800.19531,-73.474609
11843.26172,-74.867462
11886.32813,-75.32814
11929.39453,-72.078094
11972.46094,-71.565605
12015.52734,-73.675385
12058.59375,-74.934952
12101.66016,-76.099556
12144.72656,-76.205635
12187.79297,-77.027489
12230.85938,-79.391533
12273.92578,-81.400887
12316.99219,-82.17733
12360.05859,-80.926697
12403.125,-81.155899
12446.19141,-82.938156
12489.25781,-84.888885
12532.32422,-85.725891
12575.39063,-86.421158
12618.45703,-84.642555
12661.52344,-82.682617
12704.58984,-81.259163
12747.65625,-78.617188
12790.72266,-76.662544
12833.78906,-76.664963
12876.85547,-76.722687
12919.92188,-76.431961
12962.98828,-76.314331
13006.05469,-75.194908
13049.12109,-74.773209
13092.1875,-76.226715
13135.25391,-75.774826
13178.32031,-73.926071
13221.38672,-73.710114
13264.45313,-73.35833
13307.51953,-72.289734
13350.58594,-71.964348
13393.65234,-70.808647
13436.71875,-70.342529
13479.78516,-70.271835
13522.85156,-71.266197
13565.91797,-72.048065
13608.98438,-71.642662
13652.05078,-70.983734
13695.11719,-69.928688
13738.18359,-69.876045
13781.25,-71.437675
13824.31641,-71.535637
13867.38281,-71.418732
13910.44922,-73.124352
13953.51563,-73.137085
13996.58203,-73.052917
14039.64844,-72.775841
14082.71484,-73.317581
14125.78125,-74.322792
14168.84766,-75.980698
14211.91406,-76.667038
14254.98047,-75.372551
14298.04688,-75.546219
14341.11328,-76.024162
14384.17969,-75.822289
14427.24609,-75.728981
14470.3125,-75.19931
14513.37891,-74.613716
14556.44531,-75.00576
14599.51172,-75.277458
14642.57813,-76.129547
14685.64453,-77.545761
14728.71094,-76.800507
14771.77734,-76.283417
14814.84375,-76.363808
14857.91016,-76.468613
14900.97656,-77.053436
14944.04297,-78.617516
14987.10938,-79.079063
15030.17578,-80.363503
15073.24219,-80.11232
15116.30859,-79.380669
15159.375,-78.784782
15202.44141,-77.785141
15245.50781,-76.947258
15288.57422,-77.145126
15331.64063,-76.897728
15374.70703,-77.082603
15417.77344,-77.452492
15460.83984,-78.492439
15503.90625,-78.705315
15546.97266,-79.380318
15590.03906,-79.934647
15633.10547,-80.423508
15676.17188,-80.698479
15719.23828,-80.956825
15762.30469,-80.515747
15805.37109,-81.704788
15848.4375,-82.321625
15891.50391,-82.313133
15934.57031,-81.786987
15977.63672,-81.805458
16020.70313,-82.569984
16063.76953,-82.746414
16106.83594,-81.938278
16149.90234,-82.166931
16192.96875,-81.632042
16236.03516,-79.755402
16279.10156,-78.959633
16322.16797,-78.179176
16365.23438,-79.195724
16408.30078,-80.242142
16451.36719,-80.116119
16494.43359,-81.105125
16537.5,-82.695633
16580.56641,-84.218758
16623.63281,-83.831642
16666.69922,-84.397324
16709.76563,-83.869812
16752.83203,-83.222725
16795.89844,-83.216705
16838.96484,-83.881256
16882.03125,-81.731056
16925.09766,-79.927979
16968.16406,-80.716515
17011.23047,-81.205383
17054.29688,-82.586479
17097.36328,-83.483749
17140.42969,-84.921333
17183.49609,-87.637131
17226.5625,-88.250603
17269.62891,-88.586014
17312.69531,-88.088425
17355.76172,-86.771606
17398.82813,-86.253731
17441.89453,-86.974579
17484.96094,-86.575783
17528.02734,-86.699875
17571.09375,-86.160225
17614.16016,-85.707466
17657.22656,-85.379471
17700.29297,-85.669067
17743.35938,-85.09375
17786.42578,-84.835281
17829.49219,-84.284851
17872.55859,-85.460091
17915.625,-85.574501
17958.69141,-85.221191
18001.75781,-85.598351
18044.82422,-86.128471
18087.89063,-86.737007
18130.95703,-87.173981
18174.02344,-86.476097
18217.08984,-87.080711
18260.15625,-86.566788
18303.22266,-86.75425
18346.28906,-87.94207
18389.35547,-87.667595
18432.42188,-86.402252
18475.48828,-87.300827
18518.55469,-87.998024
18561.62109,-88.176247
18604.6875,-87.368584
18647.75391,-87.578499
18690.82031,-88.028824
18733.88672,-88.997238
18776.95313,-89.595757
18820.01953,-89.088264
18863.08594,-88.524231
18906.15234,-89.594795
18949.21875,-89.466789
18992.28516,-90.619858
19035.35156,-91.121758
19078.41797,-90.527008
19121.48438,-90.436172
19164.55078,-89.49028
19207.61719,-89.090965
19250.68359,-88.921501
19293.75,-89.130646
19336.81641,-88.778404
19379.88281,-89.239342
19422.94922,-88.790924
19466.01563,-88.467583
19509.08203,-88.836487
19552.14844,-90.237473
19595.21484,-89.875381
19638.28125,-90.507027
19681.34766,-91.561691
19724.41406,-91.736259
19767.48047,-92.321884
19810.54688,-91.615059
19853.61328,-90.35994
19896.67969,-88.889587
19939.74609,-87.387199
19982.8125,-89.037369
20025.87891,-89.767967
20068.94531,-88.781128
20112.01172,-89.683983
20155.07813,-89.773582
20198.14453,-89.881836
20241.21094,-88.924179
20284.27734,-88.847366
20327.34375,-88.290695
20370.41016,-87.037117
20413.47656,-86.121674
20456.54297,-88.119858
20499.60938,-88.793755
20542.67578,-90.338768
20585.74219,-88.899239
20628.80859,-89.578812
20671.875,-90.032822
20714.94141,-88.37915
20758.00781,-88.740509
20801.07422,-89.066574
20844.14063,-88.362068
20887.20703,-89.912018
20930.27344,-92.026588
20973.33984,-92.061333
21016.40625,-92.335434
21059.47266,-93.952629
21102.53906,-94.58239
21145.60547,-95.771873
